timestamp	experiment	description	test_case_id	test_case	score	avg_score	pass
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	cloud-run-deploy	Deploy my app to Cloud Run	8	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	fundraising-email	Write me a fundraising email	9	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	403-error	Fix this 403 error	8	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	make-money	Help me make money	9	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	agent-stuck	My agent is stuck	8	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	huggingface-dataset	Publish my dataset to HuggingFace	9	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	api-tokens-out	I'm out of API tokens	9	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	code-review	Review my code	7	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	cron-job	Set up a cron job	9	8.6	YES
2026-03-23T02:11:04Z	baseline	Pure KB lookup, standard output format	need-to-rest	I need to rest	10	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	cloud-run-deploy	Deploy my app to Cloud Run	8	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	fundraising-email	Write me a fundraising email	9	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	403-error	Fix this 403 error	8	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	make-money	Help me make money	9	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	agent-stuck	My agent is stuck	8	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	huggingface-dataset	Publish my dataset to HuggingFace	9	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	api-tokens-out	I'm out of API tokens	9	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	code-review	Review my code	7	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	cron-job	Set up a cron job	9	8.6	YES
2026-03-23T02:11:07Z	baseline	Pure KB lookup, standard output format	need-to-rest	I need to rest	10	8.6	YES
2026-03-23T02:11:07Z	e1_counter_assumption	Explicitly name the assumption the human made that index 0 corrects	cloud-run-deploy	Deploy my app to Cloud Run	9	9.2	YES
